,2016 presidentialelection,stay_at_home_lengths_in_days
29,Democratic,80
38,Democratic,42
19,Democratic,46
7,Democratic,69
31,Democratic,54
8,Republican,31
34,Republican,57
37,Republican,37
4,Democratic,107
12,Democratic,69
10,Democratic,77
45,Democratic,67
32,Republican,53
13,Republican,40
9,Republican,28
21,Republican,69
39,Republican,27
41,Republican,27
28,Democratic,80
46,Democratic,70
42,Republican,25
48,Republican,49
17,Republican,53
0,Republican,26
24,Republican,28
47,Republican,41
22,Democratic,51
44,Democratic,52
2,Republican,46
23,Republican,24
5,Democratic,32
36,Democratic,53
18,Democratic,57
15,Republican,35
27,Democratic,39
11,Republican,37
25,Republican,29
1,Republican,27
