,Date_infections,Infections,State,Date_deaths,Deaths,Mandate_mask,StateWide_mask,PublicMask_date,PublicMask_end,Mandate_home,StateWide_home,StayAtHome_date,StayAtHome_end,StayAtHome_Delta,PublicMask_Delta,StayAtHome_deaths_Delta,PublicMask_deaths_Delta,PublicMask_policy_days,StayAtHome_policy_days
0,2020-04-05,112,Guam,,,,,,,,,,,,,,,,
1,2020-03-28,100,Puerto Rico,2020-05-07,102.0,,,,,,,,,,,,,,
2,2020-07-04,111,Virgin Islands,,,,,,,,,,,,,,,,
3,2020-05-14,104,Alabama,2020-05-28,100.0,0.0,1.0,2020-04-30,,1.0,1.0,2020-04-04,,-40 days +00:00:00.000000000,-14 days +00:00:00.000000000,-54 days +00:00:00.000000000,-28 days +00:00:00.000000000,,
4,2020-04-08,103,Alaska,,,0.0,1.0,2020-04-03,,1.0,0.0,2020-03-22,,-17 days +00:00:00.000000000,-5 days +00:00:00.000000000,,,,
5,2020-04-15,110,Arizona,2020-04-23,115.0,,,,,1.0,1.0,2020-03-31,,-15 days +00:00:00.000000000,,-23 days +00:00:00.000000000,,,
6,2020-04-29,101,Arkansas,,,0.0,1.0,2020-04-23,,,,,,,-6 days +00:00:00.000000000,,,,
7,2020-03-23,118,California,2020-06-05,101.0,0.0,1.0,2020-04-01,,1.0,1.0,2020-03-19,,-4 days +00:00:00.000000000,9 days 00:00:00.000000000,-78 days +00:00:00.000000000,-65 days +00:00:00.000000000,,
8,2020-03-29,110,Colorado,2020-05-16,102.0,0.0,1.0,2020-04-27,,1.0,1.0,2020-03-26,2020-04-27,-3 days +00:00:00.000000000,29 days 00:00:00.000000000,-51 days +00:00:00.000000000,-19 days +00:00:00.000000000,,32 days 00:00:00.000000000
9,2020-03-19,102,Connecticut,2020-04-06,101.0,1.0,1.0,2020-04-20,,0.0,1.0,2020-03-23,,4 days 00:00:00.000000000,32 days 00:00:00.000000000,-14 days +00:00:00.000000000,14 days 00:00:00.000000000,,
10,2020-04-06,128,Delaware,2020-05-12,100.0,1.0,1.0,2020-04-28,,1.0,1.0,2020-03-24,2020-06-01,-13 days +00:00:00.000000000,22 days 00:00:00.000000000,-49 days +00:00:00.000000000,-14 days +00:00:00.000000000,,69 days 00:00:00.000000000
