State,2016 presidentialelection,Governor,State Senate,State House,SeniorU.S. Senator,JuniorU.S. Senator,U.S. House of Representatives,Partisan split (as of 2018[update])
Alabama,Republican,Republican,Republican,Republican,Republican,Democratic,Republican,Republican
Alaska,Republican,Republican,Republican,Coalition,Republican,Republican,Republican,Republican
Arizona,Republican,Republican,Republican,Republican,Democratic,Republican,Democratic,Republican
Arkansas,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
California,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
Colorado,Democratic,Democratic,Democratic,Democratic,Democratic,Republican,Democratic,Democratic
Connecticut,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
Delaware,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
Florida,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Democratic
Georgia,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Democratic
Hawaii,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
Idaho,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Illinois,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
Indiana,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Iowa,Republican,Republican,Republican,Republican,Republican,Republican,Democratic,Democratic
Kansas,Republican,Democratic,Republican,Republican,Republican,Republican,Republican,Republican
Kentucky,Republican,Democratic,Republican,Republican,Republican,Republican,Republican,Democratic
Louisiana,Republican,Democratic,Republican,Republican,Republican,Republican,Republican,Democratic
Maine,Democratic,Democratic,Democratic,Democratic,Republican,Independent,Democratic,Democratic
Maryland,Democratic,Republican,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
Massachusetts,Democratic,Republican,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
Michigan,Republican,Democratic,Republican,Republican,Democratic,Democratic,Democratic,Democratic
Minnesota,Democratic,Democratic,Republican,Democratic,Democratic,Democratic,Democratic,Democratic
Mississippi,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Missouri,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Montana,Republican,Democratic,Republican,Republican,Democratic,Republican,Republican,Republican
Nebraska,Republican,Republican,Unicameral nonpartisan legislature,Unicameral nonpartisan legislature,Republican,Republican,Republican,Republican
Nevada,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
New Hampshire,Democratic,Republican,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
New Jersey,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
New Mexico,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
New York,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
North Carolina,Republican,Democratic,Republican,Republican,Republican,Republican,Republican,Democratic
North Dakota,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Ohio,Republican,Republican,Republican,Republican,Democratic,Republican,Republican,Republican
Oklahoma,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Oregon,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
Pennsylvania,Republican,Democratic,Republican,Republican,Democratic,Republican,Tied,Democratic
Rhode Island,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
South Carolina,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
South Dakota,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Tennessee,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Texas,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Utah,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Vermont,Democratic,Republican,Democratic,Democratic,Democratic,Independent,Democratic,Democratic
Virginia,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
Washington,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic
West Virginia,Republican,Republican,Republican,Republican,Democratic,Republican,Republican,Democratic
Wisconsin,Republican,Democratic,Republican,Republican,Republican,Democratic,Republican,Tied
Wyoming,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
